what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1554663357506
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554663357538
closed,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1554663357553
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1554663358663
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554663358694
closed,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1554663358710
started,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1554663358819
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1554663358850
started,bundle,org.eclipse.mylyn.resources.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.resources.ui",1554663358882
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1554663358960
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.core",1554663359350
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1554663365210
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554663367023
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663370038
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663378883
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1554663381961
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1554663382695
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1554663385164
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554663385195
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1554663387930
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554663387961
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663429932
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663432287
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1554663508712
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1554663508837
started,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1554663508837
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663518947
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663526079
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663558366
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663560993
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663583482
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663586912
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663595523
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663611827
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663617068
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663622282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663657962
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663660970
